,ChName,Dynasty,DynastyBirth,DynastyDeath,EngName,Entry,EraBirth,EraDeath,EraYearBirth,EraYearDeath,Gender,IndexYear,JunWang,Notes,PersonId,SocialStatus,YearBirth,YearDeath,YearsLived,nid
0,歹歹,元,未詳,未詳,Daidai,,未詳,未詳,,,0,,【未詳】,,116936,,,,,116936
1,剌真,元,未詳,未詳,Lazhen,,未詳,未詳,,,0,,【未詳】,,115619,,,,,115619
2,耶律希逸,元,未詳,未詳,Yelv Xiyi,,未詳,未詳,,,0,1321,契丹宗,"Yelv(1) Xiyi [29289] WDY, 2, p. 777.",29289,[為官者：文],0,0,0,29289
3,田文鼎,元,未詳,未詳,Tian Wending,徵召門,未詳,未詳,,,0,1270,【未詳】,,117624,,1211,1273,63,117624
4,賀氏,元,未詳,未詳,He Shi,,未詳,未詳,,,1,,【未詳】,,108928,,,,,108928
5,李伯豪,元,未詳,未詳,Li Bohao,,未詳,未詳,,,0,,【未詳】,,103237,良吏;循吏,,,,103237
6,管不花,元,未詳,未詳,Guan Buhua,,未詳,未詳,,,0,,【未詳】,,418177,,,,,418177
7,馬澤,元,未詳,未詳,Ma Ze,,未詳,未詳,,,0,,【未詳】,,106035,,,,,106035
8,周惟德,元,未詳,未詳,Zhou Weide,,未詳,未詳,,,0,,【未詳】,,104008,,,,,104008
9,薛徹只篤,元,未詳,未詳,Xue Chezhidu,,未詳,未詳,,,0,,【未詳】,,112426,,,,,112426
10,莫起炎,元,未詳,元,Mo Qiyan,,未詳,至元,,31,0,1285,【未詳】,亦據元人傳記資料索引電子版7987,48260,習於道術;業進士;徵至京師,1226,1294,69,48260
11,厲元吉,元,未詳,未詳,Li Yuanji,正常科舉,未詳,未詳,,,0,1301,【未詳】,亦據元人傳記資料索引電子版12255咸淳七年進士,51411,,,,,51411
12,闊闊你敦,元,未詳,未詳,Kuokuonidun,,未詳,未詳,,,0,,【未詳】,,115249,,,,,115249
13,託和直,元,未詳,未詳,Tuohezhi,,未詳,未詳,,,0,1382,【未詳】,Index year algorithmically generated: Rule 13;,117274,,,,,117274
14,汪志堅,元,未詳,未詳,Wang Zhijian,,未詳,未詳,,,0,,【未詳】,,103667,,,,,103667
15,王諒,元,未詳,未詳,Wang Liang,,未詳,未詳,,,0,,【未詳】,,100948,,,,,100948
16,李載,元,未詳,未詳,Li Dai,,未詳,未詳,,,0,,【未詳】,,102975,,,,,102975
17,張仁,元,未詳,未詳,Zhang Ren,,未詳,未詳,,,0,,【未詳】,,106465,,,,,106465
18,金應鳳,元,未詳,未詳,Jin Yingfeng,,未詳,未詳,,,0,1306,【未詳】,,104458,,1247,1316,70,104458
19,葛演,元,未詳,未詳,Ge Yan,,未詳,未詳,,,0,,【未詳】,,109790,,,,,109790
20,林昉,元,未詳,未詳,Lin Fang,,未詳,未詳,,,0,,【未詳】,"Lin Fang [35300] WDY, 2, p. 675.《浙江通志》卷一百八十一，人物·文苑，台州府。",35300,[為官者：文];經學家;工於文,0,0,0,35300
21,盧鑄顏,元,未詳,未詳,Lu Zhuyan,,未詳,未詳,,,0,,【未詳】,,112076,,,,,112076
22,舒襟,元,未詳,未詳,Shu Jin,,未詳,未詳,,,0,,【未詳】,,108882,,,,,108882
23,劉仕龍,宋,未詳,未詳,Liu Shilong,正常科舉,未詳,未詳,,,0,1276,【未詳】,,51942,,,1276,,51942
24,哈剌火者,元,未詳,未詳,Halahuozhe,,未詳,未詳,,,0,1268,【未詳】,Index year algorithmically generated: Rule 9;,116035,,,,,116035
25,賈師夔,元,未詳,未詳,Jia Shikui,,未詳,未詳,,,0,1356,【未詳】,,386254,,,,,386254
26,胡長孺,元,未詳,未詳,Hu Changru,薦舉門,未詳,未詳,,,0,1308,【未詳】,"Hu(1) Changru [28498] Yongkang XZ (1522), p. 677. WDY, 2, pp. 806-8.",28498,博學之人;[為官者：文],1249,1323,75,28498
27,八里顏,元,未詳,未詳,Baliyan,,未詳,未詳,,,0,,【未詳】,,114008,,,,,114008
28,吳延壽,元,未詳,未詳,Wu Yanshou,,未詳,未詳,,,0,,【未詳】,,102426,,,,,102426
29,徐宗善,元,未詳,未詳,Xu Zongshan,,未詳,未詳,,,0,,【未詳】,,105619,,,,,105619
30,許庾,元,未詳,未詳,Xu Yu,,未詳,未詳,,,0,1306,【未詳】,,107624,,1247,,,107624
31,張文樞,元,未詳,未詳,Zhang Wenshu,,未詳,未詳,,,0,,【未詳】,,106936,畫家,,,,106936
32,釋洪亨,元,未詳,未詳,Shi Hongheng,,未詳,未詳,,,0,,【未詳】,,113237,,,,,113237
33,山山,元,未詳,未詳,Shanshan,,未詳,未詳,,,0,,【未詳】,,116465,,,,,116465
34,趙紹,元,未詳,未詳,Zhao Shao,,未詳,未詳,,,0,,【未詳】,,426475,,,,,426475
35,赤斤鐵木兒,元,未詳,未詳,Chijintiemuer,,未詳,未詳,,,0,,【未詳】,,114458,,,,,114458
36,江日新,元,未詳,未詳,Jiang Rixin,,未詳,未詳,,,0,,【未詳】,,102076,,,,,102076
37,胡巖起,宋,未詳,南宋,Hu Yanqi,,未詳,德祐,,,0,1274,【未詳】,從《宋人傳記資料索引》5963貝寳條中引出。,41411,武將;死國難,,1274,,41411
38,夏日孜,元,未詳,未詳,Xia Rizi,正常科舉,未詳,未詳,,,0,1360,【未詳】,至順元年進士,105249,,,,,105249
39,夏日孜,元,未詳,未詳,Xia Rizi,正常科舉,未詳,未詳,,,0,1360,【未詳】,至順元年進士,105249,,,,,8497
40,張彌遠,元,未詳,未詳,Zhang Miyuan,,未詳,未詳,,,0,,【未詳】,,107274,良吏;循吏,,,,107274
41,劉復,元,未詳,未詳,Liu Fu,,未詳,未詳,,,0,,【未詳】,,110948,,,,,110948
42,竇均,元,未詳,未詳,Dou Jun,,未詳,未詳,,,0,,【未詳】,,112975,,,,,112975
43,陳汝檝,明,未詳,未詳,Chen Ruji,徵召門,未詳,未詳,,,0,1352,【未詳】,,108181,,1293,1372,80,108181
44,楊信,明,元,明,Yang Xin,,延祐,洪武,7,9,0,1376,【未詳】,中央研究院人名權威資料：生年又作泰定4年(1327)。,67489,,1320,1376,57,67489
45,楊信,明,元,明,Yang Xin,,延祐,洪武,7,9,0,1376,【未詳】,中央研究院人名權威資料：生年又作泰定4年(1327)。,67489,,1320,1376,57,170349
46,阿里罕,元,未詳,未詳,Alihan,,未詳,未詳,,,0,,【未詳】,,113667,,,,,113667
47,陶安,明,元,明,Tao An,正常科舉,至大,洪武,3,1,0,1368,【未詳】,"Tao(1) An [28532] MS, 136.2925-27. 中央研究院人名權威資料：生卒年又作延祐2年(1315)-洪武4年(1371)。",28532,經學家—易經;[為官者：文];書院山長;父老;耆老,1310,1368,59,28532
48,郭鈞,元,未詳,未詳,Guo Jun,,未詳,未詳,,,0,,【未詳】,,107761,,,,,107761
49,艾季誠,元,未詳,未詳,Ai Jicheng,,未詳,未詳,,,0,,【未詳】,,102099,,,,,102099
50,周子諒,明,元,未詳,Zhou Ziliang,正常科舉,泰定,未詳,2,,0,1384,【未詳】,,198038,,1325,,,198038
51,張子忠,元,未詳,未詳,Zhang Zizhong,,未詳,未詳,,,0,,【未詳】,,106873,,,,,106873
52,釋嘯林,元,未詳,未詳,Shi Xiaolin,,未詳,未詳,,,0,,【未詳】,,113372,,,,,113372
53,單質,元,未詳,未詳,Dan Zhi,,未詳,未詳,,,0,,【未詳】,,108494,,,,,108494
54,喚住,元,未詳,未詳,Huanzhu,,未詳,未詳,,,0,,【未詳】,,116170,,,,,116170
55,安坦,元,未詳,未詳,Antan,,未詳,未詳,,,0,1356,【未詳】,Index year algorithmically generated: Rule 13;,113688,,,,,113688
56,呂之屏,元,未詳,未詳,Lv Zhiping,,未詳,未詳,,,0,,【未詳】,,102563,,,,,102563
57,曹氏(于同祖妻),元,未詳,未詳,Cao Shi(Wife of Yu Tong Zu ),,未詳,未詳,,,1,,【未詳】,,107331,貞婦,,,,107331
58,王忠仁,元,未詳,未詳,Wang Zhongren,,未詳,未詳,,,0,1335,【未詳】,"Wang(2) Zhongren [33391] See documentation for son-in-law, Yin(1) Xiang [33383].",33391,[為官者：文],0,0,0,33391
59,程立,元,未詳,未詳,Cheng Li,,未詳,未詳,,,0,1300,【未詳】,"Cheng(1) Li [28477] CHECK funerary inscriptions of sons, Duanli [28475] and Duanxue [28476].",28477,,0,0,0,28477
60,安童,元,未詳,未詳,Antong,,未詳,未詳,,,0,1293,【未詳】,,113722,,1245,1293,49,113722
61,吳師夔,元,未詳,未詳,Wu Shikui,,未詳,未詳,,,0,1355,【未詳】,,386741,,,,,386741
62,撒的迷失,元,未詳,未詳,Sademishi,,未詳,未詳,,,0,,【未詳】,,116520,,,,,116520
63,何友聞,元,未詳,未詳,He Youwen,,未詳,未詳,,,0,,【未詳】,,102133,,,,,102133
64,馬天鐸,元,未詳,未詳,Ma Tianduo,,未詳,未詳,,,0,,【未詳】,,433698,,,,,433698
65,高桂,元,未詳,未詳,Gao Gui,,未詳,未詳,,,0,,【未詳】,,106170,,,,,106170
66,汪清臣,元,未詳,未詳,Wang Qingchen,,未詳,未詳,,,0,1284,【未詳】,Index year algorithmically generated: Rule 8;,103688,,,,,103688
67,韓肅,元,未詳,未詳,Han Su,,未詳,未詳,,,0,,【未詳】,,112563,,,,,112563
68,韓肅,元,未詳,未詳,Han Su,,未詳,未詳,,,0,,【未詳】,,112563,,,,,144303
69,葛通甫,元,未詳,未詳,Ge Tongfu,,未詳,未詳,,,0,1360,【未詳】,"Ge(2) Tongfu [34907] CHECK biography of wife, Ding(1) Yuee [34906].",34907,,0,0,0,34907
70,元真,元,未詳,未詳,Yuan Zhen,特旨門,未詳,未詳,,,1,1268,拓跋,"Yuan(2) Zhen [28924] Yuan Haowen, WJ, nianpu, shang.5b, 8b-9a.",28924,[妻];[母],1208,0,0,28924
71,廉希括,元,未詳,未詳,Lian Xikuo,,未詳,未詳,,,0,,【未詳】,,109285,,,,,109285
72,唐兀安僧,元,未詳,未詳,Tangwuanseng,,未詳,未詳,,,0,,【未詳】,,116873,,,,,116873
73,康茂才,明,元,明,Kang Maocai,,皇慶,洪武,2,3,0,1370,【未詳】,,66277,義軍首領,1313,1370,58,66277
74,蕭寅,明,未詳,未詳,Xiao Yin,,未詳,未詳,,,0,1386,【未詳】,,112099,,1327,1398,72,112099
75,薛徹徹篤,元,未詳,未詳,Xue Chechedu,,未詳,未詳,,,0,,【未詳】,,134001,,,,,134001
76,李從善,元,未詳,未詳,Li Zongshan,,未詳,未詳,,,0,,【未詳】,,103372,,,,,103372
